add basket alic | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/classics_6/index.html 1
add basket america | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/travel_2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/travel_2/index.html 1
add basket anim | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/classics_6/index.html 1
add basket bachelor | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/mystery_3/index.html 1
add basket band | https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books_1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books_1/index.html 1
add basket beowulf | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/classics_6/index.html 1
add basket black | https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books_1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books_1/index.html 1
add basket boar | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/mystery_3/index.html 1
add basket boi | https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books_1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books_1/index.html 1
add basket camp | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/sequential-art_5/index.html 1
add basket candid | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/classics_6/index.html 1
add basket catalogu | https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1
add basket codenam | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/sequential-art_5/index.html 1
add basket come | https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books_1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books_1/index.html 1
add basket complet | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/classics_6/index.html 1
add basket constant | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/historical-fiction_4/index.html 1
add basket courtship | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/historical-fiction_4/index.html 1
add basket critiqu | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/philosophy_7/index.html 1
add basket danganronpa | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/sequential-art_5/index.html 1
add basket dark | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/mystery_3/index.html 2
add basket death | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/philosophy_7/index.html 1
add basket deliv | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/mystery_3/index.html 1
add basket die | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/travel_2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/travel_2/index.html 1
add basket dirti | https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books_1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3/ 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books_1/index.html 1
add basket emma | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/classics_6/index.html 1
add basket evil | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/philosophy_7/index.html 1
add basket existentialist | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/philosophy_7/index.html 1
add basket flight | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/historical-fiction_4/index.html 1
add basket giant | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/sequential-art_5/index.html 1
add basket girl | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/historical-fiction_4/index.html 2
add basket glori | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/historical-fiction_4/index.html 1
add basket guernsei | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/historical-fiction_4/index.html 1
add basket happen | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/mystery_3/index.html 1
add basket hate | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/sequential-art_5/index.html 1
add basket hero | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/sequential-art_5/index.html 1
add basket hide | https://cs.brown.edu/courses/csci1380/sandbox/3//catalogue/category/books/mystery_3/index.html 1
